Chromosome	Start	End	Karyotype_band	Strand	Gene_stable_ID	Gene_name	HGNC_symbol	Gene_type
1	107360861	107380789	p13.3	1	ENSG00000237460	RP11-233E12.1		lincRNA
1	52615777	52616089	p32.3	1	ENSG00000241745	RN7SL788P	RN7SL788P	misc_RNA
1	52625933	52626272	p32.3	-1	ENSG00000228407	RP4-800M22.1		pseudogene
1	248285234	248286184	q44	1	ENSG00000177233	OR2M1P	OR2M1P	pseudogene
1	107991091	107991177	p13.3	-1	ENSG00000238883	AC114491.1		miRNA
1	108047825	108048070	p13.3	1	ENSG00000224550	RP11-270C12.3		pseudogene
1	248647546	248648785	q44	-1	ENSG00000229255	RP11-407H12.8		antisense
1	52627858	52628698	p32.3	-1	ENSG00000223429	RP4-800M22.2		pseudogene
1	108318796	108318878	p13.3	-1	ENSG00000265536	AL591042.1		miRNA
1	157995340	158000956	q23.1	1	ENSG00000226520	KIRREL-IT1	KIRREL-IT1	sense_intronic
1	15518324	15519341	p36.21	-1	ENSG00000215720	RP1-21O18.3		pseudogene
1	108507065	108537229	p13.3	1	ENSG00000230489	VAV3-AS1	VAV3-AS1	antisense
1	158101834	158110429	q23.1	-1	ENSG00000231666	RP11-404O13.1		lincRNA
1	108561275	108561393	p13.3	-1	ENSG00000264753	AL390036.1		miRNA
1	248661609	248661929	q44	1	ENSG00000271934	OR2AS2P	OR2AS2P	pseudogene
1	15653176	15670372	p36.21	-1	ENSG00000233485	RP3-467K16.2		antisense
1	108614104	108617141	p13.3	1	ENSG00000226822	RP11-356N1.2		lincRNA
1	52645520	52646225	p32.3	1	ENSG00000224255	PDCL3P6	PDCL3P6	pseudogene
1	15660662	15661960	p36.21	-1	ENSG00000236045	RP3-467K16.7		antisense
1	248712057	248727140	q44	1	ENSG00000224521	RP11-438F14.3		antisense
1	204100190	204101094	q32.1	1	ENSG00000261065	RP11-74C13.4		antisense
1	158145640	158147545	q23.1	-1	ENSG00000227295	ELL2P1	ELL2P1	pseudogene
1	15729475	15735929	p36.21	-1	ENSG00000228140	RP3-467K16.4		lincRNA
1	204110536	204112137	q32.1	1	ENSG00000230550	RP11-74C13.3		antisense
1	108742548	108744113	p13.3	1	ENSG00000260879	RP11-483I13.5		antisense
1	108803818	108816311	p13.3	-1	ENSG00000238122	RP11-483I13.2		lincRNA
1	158165423	158165921	q23.1	-1	ENSG00000229914	RP11-404O13.4		pseudogene
1	52655588	52655981	p32.3	-1	ENSG00000236004	RP4-800M22.4		pseudogene
1	204152134	204152665	q32.1	1	ENSG00000225522	RP11-203F10.1		pseudogene
1	15868660	15868799	p36.21	1	ENSG00000251866	SCARNA21		snoRNA
1	204246133	204247076	q32.1	1	ENSG00000231691	RP11-203F10.5		antisense
1	248712745	248713063	q44	-1	ENSG00000227102	OR2AS1P	OR2AS1P	pseudogene
1	158167712	158173667	q23.1	-1	ENSG00000176320	RP11-404O13.5		lincRNA
1	15892106	15892451	p36.21	-1	ENSG00000272510	RP4-680D5.8		antisense
1	52717734	52718445	p32.3	-1	ENSG00000237663	DNAJC19P7	DNAJC19P7	pseudogene
1	15912631	15930121	p36.21	-1	ENSG00000237301	RP4-680D5.2		antisense
1	204315904	204316386	q32.1	-1	ENSG00000219133	RP11-203F10.6		pseudogene
1	108815565	108918572	p13.3	1	ENSG00000241361	SLC25A24P1	SLC25A24P1	pseudogene
1	158236543	158237110	q23.1	-1	ENSG00000230942	HMGN1P5	HMGN1P5	pseudogene
1	248758226	248758334	q44	-1	ENSG00000201602	Y_RNA		misc_RNA
1	248764717	248765170	q44	1	ENSG00000271701	RP11-438F14.10		pseudogene
1	15931077	15931538	p36.21	1	ENSG00000235084	CHCHD2P6	CHCHD2P6	pseudogene
1	248855492	248862411	q44	1	ENSG00000229703	XX-CR54.1		lincRNA
1	45976708	45988719	p34.1	-1	ENSG00000117450	PRDX1	PRDX1	protein_coding
1	158414858	158415804	q23.1	-1	ENSG00000203758	OR10T1P	OR10T1P	pseudogene
1	204346978	204404974	q32.1	1	ENSG00000226330	RP11-739N20.2		antisense
1	204363669	204363902	q32.1	1	ENSG00000237848	RP11-739N20.3		pseudogene
1	248881947	248885506	q44	-1	ENSG00000232694	XX-CR54.3		lincRNA
1	158423988	158425063	q23.1	1	ENSG00000236257	EI24P2	EI24P2	pseudogene
1	15934573	15934640	p36.21	-1	ENSG00000252417	RNU7-179P	RNU7-179P	snRNA
1	248885294	248885502	q44	-1	ENSG00000242529	AHCYP8	AHCYP8	pseudogene
1	204497973	204498820	q32.1	-1	ENSG00000236779	RP11-430C7.2		pseudogene
1	52719293	52719848	p32.3	1	ENSG00000213735	ANAPC10P1	ANAPC10P1	pseudogene
1	15941138	15941362	p36.21	-1	ENSG00000236500	RP4-680D5.4		pseudogene
1	204531541	204531649	q32.1	-1	ENSG00000200408	RNA5SP74	RNA5SP74	rRNA
1	158444244	158464676	q23.1	-1	ENSG00000236656	RP11-144L1.4		antisense
1	52819159	52819549	p32.3	1	ENSG00000272100	RP11-155O18.6		antisense
1	16009368	16009623	p36.21	-1	ENSG00000271742	RP4-680D5.9		lincRNA
1	204572163	204585693	q32.1	1	ENSG00000240710	RP11-430C7.4		antisense
1	16010967	16011053	p36.21	1	ENSG00000264048	AL121992.1		miRNA
1	52834349	52834916	p32.3	1	ENSG00000224680	PLA2G12AP1	PLA2G12AP1	pseudogene
1	249065834	249067991	q44	-1	ENSG00000229663	AL672296.1		pseudogene
1	16049214	16063391	p36.21	-1	ENSG00000237938	RP11-288I21.1		antisense
1	204595903	204598840	q32.1	1	ENSG00000240219	RP11-430C7.5		lincRNA
1	52877114	52877194	p32.3	1	ENSG00000239063	snoU13		snoRNA
1	16066546	16076391	p36.21	-1	ENSG00000224459	RP11-169K16.4		antisense
1	53020490	53020945	p32.3	1	ENSG00000272371	RP11-25O10.2		lincRNA
1	204622230	204622314	q32.1	-1	ENSG00000252731	AL161793.1		miRNA
1	158461009	158461950	q23.1	1	ENSG00000198703	OR10R3P	OR10R3P	pseudogene
1	204633000	204633741	q32.1	1	ENSG00000228153	RP11-23I7.1		lincRNA
1	249120576	249120642	q44	1	ENSG00000264500	MIR3124	MIR3124	miRNA
1	53038786	53039488	p32.3	1	ENSG00000236290	EEF1GP7	EEF1GP7	pseudogene
1	16119291	16119780	p36.21	1	ENSG00000224321	RP11-169K16.6		pseudogene
1	43272723	43282954	p34.2	-1	ENSG00000177868	CCDC23	CCDC23	protein_coding
1	204676448	204676558	q32.1	-1	ENSG00000252650	RNA5SP75	RNA5SP75	rRNA
1	249153363	249158995	q44	1	ENSG00000227237	AL672294.1		antisense
1	53174794	53175114	p32.3	1	ENSG00000233664	NDUFS5P3	NDUFS5P3	pseudogene
1	204697119	204697234	q32.1	1	ENSG00000251861	SCARNA20		snoRNA
1	16133679	16134194	p36.21	-1	ENSG00000233954	RP11-169K16.7		pseudogene
1	204873875	204873946	q32.1	-1	ENSG00000252946	SNORD112		snoRNA
1	158484575	158485715	q23.1	1	ENSG00000227445	OR10R1P	OR10R1P	pseudogene
1	249206889	249206994	q44	-1	ENSG00000200495	RNU6-1205P	RNU6-1205P	snRNA
1	53180071	53180365	p32.3	1	ENSG00000239640	RN7SL62P	RN7SL62P	misc_RNA
1	204915736	204916297	q32.1	1	ENSG00000229657	RP11-494K3.2		pseudogene
1	249230780	249231242	q44	1	ENSG00000233084	AL672183.2		pseudogene
1	53219994	53220134	p32.3	1	ENSG00000252018	RNU2-30P	RNU2-30P	snRNA
1	53237866	53238320	p32.3	-1	ENSG00000228929	RP11-159C21.4		pseudogene
1	16154724	16155167	p36.21	1	ENSG00000178715	RP11-169K16.8		pseudogene
1	108918460	108953436	p13.3	1	ENSG00000243967	NBPF5P	NBPF5P	processed_transcript
1	205031380	205031470	q32.1	1	ENSG00000251696	AL583832.1		miRNA
1	158493462	158495628	q23.1	1	ENSG00000231434	RP11-144L1.8		pseudogene
1	53270780	53270884	p32.3	-1	ENSG00000206627	RNU6-969P	RNU6-969P	snRNA
1	205060291	205061074	q32.1	1	ENSG00000271580	RP11-536L3.4		pseudogene
1	53346888	53347402	p32.3	-1	ENSG00000242391	RP4-631H13.2		antisense
1	205103774	205104078	q32.1	1	ENSG00000236108	RP11-383G10.1		pseudogene
1	16160560	16174642	p36.21	-1	ENSG00000179743	RP11-169K16.9		antisense
1	53386094	53386268	p32.3	1	ENSG00000230953	RP4-631H13.6		pseudogene
1	205171319	205171870	q32.1	1	ENSG00000213041	RP11-383G10.3		pseudogene
1	16237392	16237492	p36.13	1	ENSG00000238818	snoU13		snoRNA
1	158664329	158665299	q23.1	-1	ENSG00000231237	OR6K1P	OR6K1P	pseudogene
1	16244193	16244403	p36.13	-1	ENSG00000270620	RP1-134O19.3		pseudogene
1	205202949	205205995	q32.1	-1	ENSG00000225063	RP11-383G10.5		antisense
1	53390921	53391095	p32.3	-1	ENSG00000231866	RP4-631H13.4		pseudogene
1	205320375	205320599	q32.1	1	ENSG00000235363	SNRPGP10	SNRPGP10	pseudogene
1	53394346	53394444	p32.3	1	ENSG00000264834	MIR1273F	MIR1273F	miRNA
1	53400602	53400689	p32.3	1	ENSG00000266188	MIR5095	MIR5095	miRNA
1	158693903	158694902	q23.1	-1	ENSG00000180437	OR6K4P	OR6K4P	pseudogene
1	205342380	205356568	q32.1	1	ENSG00000226235	LEMD1-AS1	LEMD1-AS1	antisense
1	16296127	16296689	p36.13	1	ENSG00000234607	RP11-5P18.1		pseudogene
1	53405986	53406085	p32.3	1	ENSG00000265815	MIR1273G	MIR1273G	miRNA
1	108926358	108963917	p13.3	-1	ENSG00000238118	SLC25A24P2	SLC25A24P2	pseudogene
1	53409208	53409602	p32.3	-1	ENSG00000237279	RP4-631H13.5		pseudogene
1	205417430	205417526	q32.1	-1	ENSG00000199059	MIR135B	MIR135B	miRNA
1	158711936	158713205	q23.1	-1	ENSG00000226949	OR6K5P	OR6K5P	pseudogene
1	205425057	205438152	q32.1	1	ENSG00000224717	RP11-576D8.4		lincRNA
1	16314677	16314936	p36.13	1	ENSG00000231353	RP11-5P18.3		pseudogene
1	108963311	108975806	p13.3	1	ENSG00000224698	RP11-131J3.1		lincRNA
1	53458868	53459374	p32.3	-1	ENSG00000236360	RP11-334A14.2		pseudogene
1	16316366	16321246	p36.13	1	ENSG00000224966	TBC1D3P6	TBC1D3P6	pseudogene
1	109044980	109046077	p13.3	1	ENSG00000227832	ST13P21	ST13P21	pseudogene
1	205535844	205535927	q32.1	1	ENSG00000253097	RNU2-19P	RNU2-19P	snRNA
1	53460398	53461698	p32.3	1	ENSG00000226147	TUBBP10	TUBBP10	pseudogene
1	158765804	158766003	q23.1	1	ENSG00000229724	OR2AQ1P	OR2AQ1P	pseudogene
1	205564169	205564275	q32.1	1	ENSG00000206762	RNU6-418P	RNU6-418P	snRNA
1	205594611	205595281	q32.1	1	ENSG00000236942	RP11-6B6.3		pseudogene
1	109051196	109051865	p13.3	1	ENSG00000226483	RP5-964H19.2		pseudogene
1	109276878	109277347	p13.3	-1	ENSG00000232971	RP11-293A10.3		antisense
1	158778189	158779125	q23.1	-1	ENSG00000180409	OR10AA1P	OR10AA1P	pseudogene
1	53535610	53551174	p32.3	-1	ENSG00000232993	RP11-334A14.5		antisense
1	109309463	109310206	p13.3	-1	ENSG00000228076	RP11-475E11.2		pseudogene
1	205700349	205700480	q32.1	-1	ENSG00000201944	SNORA72		snoRNA
1	53538782	53539061	p32.3	-1	ENSG00000227644	HIGD1AP11	HIGD1AP11	pseudogene
1	16332655	16333166	p36.13	-1	ENSG00000233078	RP11-5P18.5		antisense
1	205904256	205904896	q32.1	1	ENSG00000227687	RP4-681L3.2		antisense
1	109399839	109401146	p13.3	1	ENSG00000203897	SPATA42	SPATA42	antisense
1	158848536	158853290	q23.1	1	ENSG00000229849	RP11-393K10.1		pseudogene
1	53580248	53584281	p32.3	1	ENSG00000235563	RP11-334A14.8		antisense
1	206135293	206137984	q32.1	-1	ENSG00000229874	RP11-312O7.2		antisense
1	16361673	16366524	p36.13	-1	ENSG00000232456	RP11-5P18.10		pseudogene
1	53676128	53679447	p32.3	-1	ENSG00000236723	RP5-1024G6.2		antisense
1	53686335	53689925	p32.3	1	ENSG00000259818	RP5-1024G6.7		antisense
1	16481706	16483824	p36.13	1	ENSG00000227959	RP11-276H7.2		antisense
1	179833916	179834311	q25.2	-1	ENSG00000258664	IFRG15		protein_coding
1	206164084	206166270	q32.1	1	ENSG00000236889	RP11-38J22.1		lincRNA
1	53704282	53708455	p32.3	1	ENSG00000226754	RP5-1024G6.5		antisense
1	159029039	159029116	q23.1	1	ENSG00000265589	AL359753.1		miRNA
1	44457172	44497139	p34.1	-1	ENSG00000196517	SLC6A9	SLC6A9	protein_coding
1	159050923	159051585	q23.1	-1	ENSG00000233473	RAD1P2	RAD1P2	pseudogene
1	43282795	43310660	p34.2	1	ENSG00000164010	ERMAP	ERMAP	protein_coding
1	159148263	159148349	q23.2	1	ENSG00000222552	RNA5SP60	RNA5SP60	rRNA
1	206180054	206180443	q32.1	1	ENSG00000225483	RP11-38J22.2		pseudogene
1	16485761	16488378	p36.13	1	ENSG00000224621	RP11-276H7.3		antisense
1	159165775	159177763	q23.2	-1	ENSG00000225670	CTA-134P22.2		antisense
1	53708036	53710212	p32.3	-1	ENSG00000270172	RP5-1024G6.8		lincRNA
1	16524349	16524852	p36.13	1	ENSG00000234166	ARHGEF19-AS1	ARHGEF19-AS1	antisense
1	206214526	206223548	q32.1	-1	ENSG00000226780	RP11-38J22.3		antisense
1	109529585	109529867	p13.3	-1	ENSG00000237349	RP5-1065J22.2		pseudogene
1	53733607	53734273	p32.3	1	ENSG00000234578	RP4-784A16.1		antisense
1	206261008	206261093	q32.1	-1	ENSG00000252692	SNORD60		snoRNA
1	16542404	16554522	p36.13	-1	ENSG00000237276	ANO7P1	ANO7P1	pseudogene
1	53753696	53755378	p32.3	1	ENSG00000228838	RP4-784A16.2		antisense
1	109534878	109535489	p13.3	1	ENSG00000244716	RP11-20O24.4		pseudogene
1	206288156	206306131	q32.1	-1	ENSG00000240754	RP11-38J22.6		lincRNA
1	53757463	53757810	p32.3	-1	ENSG00000225030	RP4-784A16.3		sense_intronic
1	159246293	159247282	q23.2	1	ENSG00000215846	MPTX1	MPTX1	pseudogene
1	53770208	53773134	p32.3	1	ENSG00000232762	RP4-784A16.4		antisense
1	206506678	206506789	q32.1	-1	ENSG00000229509	RP11-421E17.4		pseudogene
1	109572689	109572941	p13.3	1	ENSG00000228665	RP11-20O24.1		pseudogene
1	53793905	53802181	p32.3	1	ENSG00000225675	RP4-784A16.5		lincRNA
1	206552219	206554954	q32.1	-1	ENSG00000233501	SRGAP2-AS1	SRGAP2-AS1	antisense
1	53814160	53814905	p32.3	-1	ENSG00000226938	RP11-117D22.1		lincRNA
1	109589450	109590104	p13.3	1	ENSG00000228054	RANP5	RANP5	pseudogene
1	206677281	206677789	q32.1	1	ENSG00000261000	RP11-534L20.5		antisense
1	53832340	53833917	p32.3	-1	ENSG00000230138	RP11-117D22.2		lincRNA
1	206702248	206703039	q32.1	1	ENSG00000234981	RP11-534L20.4		pseudogene
1	109630593	109633480	p13.3	-1	ENSG00000273382	RP5-1065J22.8		antisense
1	159248831	159249791	q23.2	-1	ENSG00000248642	OR10J2P	OR10J2P	pseudogene
1	109642815	109643241	p13.3	1	ENSG00000270066	SCARNA2	SCARNA2	lincRNA
1	206807994	206808967	q32.1	-1	ENSG00000237605	RP11-343H5.6		antisense
1	109646157	109647388	p13.3	-1	ENSG00000251484	RP5-1065J22.4		pseudogene
1	206855308	206855380	q32.1	1	ENSG00000252853	SNORD112		snoRNA
1	53878821	53905693	p32.3	-1	ENSG00000236253	SLC25A3P1	SLC25A3P1	pseudogene
1	16567708	16567893	p36.13	-1	ENSG00000233929	MT1XP1	MT1XP1	pseudogene
1	109750416	109750470	p13.3	-1	ENSG00000238310	RNU7-122P	RNU7-122P	snRNA
1	148739443	148758311	q21.2	1	ENSG00000203827	NBPF16	NBPF16	protein_coding
